gene_symbol	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
A1BG	1.30201979797204	-0.314635085613968	1.53547979222975	-0.204909948803085	0.837642482127711	NA
A1CF	0.503051832045674	2.54596804258873	3.49970487122495	0.727480783743232	0.466931482862808	NA
A2M	770.970491084631	-0.136317716293009	0.75398121094302	-0.180797232496701	0.856526735461003	0.99987645342464
A2ML1	1.78385994597164	0.729162003440273	1.41921494494636	0.513778413929984	0.607406921484404	NA
A3GALT2	1.5104691723044	1.40229340221849	1.8924707166834	0.740985522183423	0.458702218688976	NA
A4GALT	26.7575833970694	-1.47079069735066	0.919655327548758	-1.59928470296681	0.109757356912359	0.99987645342464
AAAS	28.6426613640456	-0.116186557254446	0.413994847385616	-0.280647351019381	0.778980894083331	0.99987645342464
AACS	17.0425086812853	-0.998914595575982	0.561761881215027	-1.77818151957097	0.0753740471282609	0.99987645342464
AADAC	0.487989300685282	-0.443089931394476	3.01501465013894	-0.146961120528571	0.883162708372324	NA
AADACL2	0.769284808624915	-0.99299489999505	2.83014779777821	-0.350863266142706	0.725690931019535	NA
AADAT	7.30144529584466	0.823814254395407	1.59576571618612	0.516250127471295	0.60567972379519	0.99987645342464
AAGAB	10.3373656616546	0.698037462080789	1.07422130524572	0.64980787354717	0.515816332428071	0.99987645342464
AAK1	91.8806341128851	-0.000360884162607164	0.554770176197586	-0.000650511109087869	0.999480967266034	0.999883575241343
AAMDC	593.318064394067	0.167137505540597	0.372568842733191	0.448608381512701	0.653714186478429	0.99987645342464
AAMP	27.7638338570231	0.0304992584373482	0.516648748682022	0.0590328700401429	0.952925927248764	0.99987645342464
AANAT	1.01434570143749	-0.241436919237587	1.76870724755443	-0.136504737893407	0.891422279313772	NA
AAR2	126.419207978296	-0.227196408503682	0.464463227960814	-0.489159086933896	0.624729072266658	0.99987645342464
AARS1	94.3397085673322	0.869388736294401	0.635998024103127	1.36696766868167	0.171635439778739	0.99987645342464
AARS2	22.0006856089953	-0.978608667768851	0.657893238254389	-1.48748856328943	NA	NA
AARSD1	19.4069639333928	-0.232786582893803	0.462979221349725	-0.502801361614371	0.615103936238809	0.99987645342464
AASDH	23.5601300456351	-0.00376027172108897	1.15342660808348	-0.0032600875467378	0.997398831087204	0.99987645342464
AASDHPPT	6.77780905535536	-0.516265714261702	0.93883069296573	-0.549902893173249	0.582385979734277	0.99987645342464
AASS	59.8414751131217	-0.446532439155625	1.0337239408929	-0.431964881039635	0.665766937835858	0.99987645342464
AATF	24.4986687969242	0.517349233343574	0.443242562193123	1.16719213692787	0.243132785612732	0.99987645342464
AATK	14.0545873643414	2.48180023967882	1.47810281903737	1.67904438562341	0.0931433936972629	0.99987645342464
ABAT	30.7541910219579	-0.169700136355723	0.492959227007336	-0.344247814136558	0.730659926698857	0.99987645342464
ABCA1	373.324323869645	-0.159953636260137	0.74120095744132	-0.215803331949689	0.829141050995618	0.99987645342464
ABCA10	199.57491426462	-0.449727459774688	0.696185562229827	-0.645987914966588	0.5182871819652	0.99987645342464
ABCA12	7.46413671576182	1.08833156507609	1.13582746649348	0.958183876672733	0.337970046009454	0.99987645342464
ABCA13	494.168171739994	0.115623844423173	0.625612739846152	0.184816959532517	0.853372605230709	0.99987645342464
ABCA2	63.2154512246856	-0.37916712655924	0.601610039038212	-0.630253988389906	0.528528421571328	0.99987645342464
ABCA3	17.9072468070197	-1.86476744772626	0.617750145883104	-3.01864347609418	0.00253909141321148	0.345964710855454
ABCA4	2.27990560131887	0.171542003039291	1.31835791528631	0.130117930078219	0.896473124567056	NA
ABCA5	80.0302042635936	-1.30350942352593	1.44641953745038	-0.90119732883562	0.367483410950438	0.99987645342464
ABCA6	232.517912724033	-0.830080760027216	1.17697076778305	-0.705268799148482	0.480642973430421	0.99987645342464
ABCA7	39.5642387912396	1.18600772616939	0.890473301098349	1.33188465584147	0.182898093924753	0.99987645342464
ABCA8	207.077871179911	-0.42585061490362	1.30478186243228	-0.326376865869196	0.744139238438904	0.99987645342464
ABCA9	163.225820400286	-0.993546212295907	1.07884614884163	-0.920934104795839	0.357084831412404	0.99987645342464
ABCB1	5.01464440042586	0.17861065077557	1.2206561418205	0.146323476904141	0.883666033427217	0.99987645342464
ABCB10	14.2457654372365	-0.0727406790838551	0.988019488361741	-0.0736227169005221	0.941310594717616	0.99987645342464
ABCB11	3.266054065718	0.953411851053189	1.52072888212647	0.626944001826289	0.530695942646656	0.99987645342464
ABCB4	5.89832012785384	-0.343576864436034	1.07589943981433	-0.319339198183174	0.749469311603534	0.99987645342464
ABCB5	3.81730674470558	0.226613105356081	1.60926704047913	0.140817589409282	0.888014047190151	0.99987645342464
ABCB6	18.9185616078766	-0.443433657078143	0.478601921384115	-0.926518756539327	0.354176454183875	0.99987645342464
ABCB7	19.6377066634662	-0.147346153307639	1.16888678179335	-0.126056822271166	0.899686945588974	0.99987645342464
ABCB8	20.1385699316599	0.164248415249542	0.726176618498714	0.226182461766818	0.821059510665138	0.99987645342464
ABCB9	2.84653411085625	1.45098861103728	1.26649610322501	1.14567159531125	0.25193106104917	0.99987645342464
ABCC1	88.8735377471877	-0.043888696074531	0.414797605326691	-0.105807496260651	0.915735089024467	0.99987645342464
ABCC10	41.6520111048237	-1.21225769897646	0.678486600172838	-1.7867083869713	0.073984632835568	0.99987645342464
ABCC11	0.743162021516228	-1.35573355262785	2.443545386463	-0.554822333212422	0.579016189729611	NA
ABCC2	14.4398362769716	1.62829945082398	1.05940809279141	1.53698981714744	0.124295802996395	0.99987645342464
